country,ccode,ccode_gw,ccode_polity,year,month,day,coup,version,Contributor,Status,Link to Narrative,~ Time to complete,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,,,,,,,,,
Benin,434,,,2025,12,7,1,V2026.01.13,Tucker,Complete,12-2025 Coup Attempt,,,,,,,,,,,,,,,,,
Guinea-Bissau,404,,,2025,11,26,2,V2026.01.13,,Need to be reviewed ,Guinea-Bissau 11/25,,,,,,,,,,,,,,,,,Reece
Madagascar,580,,,2025,10,12,2,V2026.01.13,Tucker,Complete,10-2025 Madagascar Coup Attempt,,,,,,,,,,,,,,,,,Tucker
Bangladesh,771,,,2024,8,5,2,V2026.01.13,Reece,Research,,,,,,,,,,,,,,,,,,N/A
Bolivia,145,,,2024,6,26,1,V2026.01.13,Tucker,Complete,Bolivia 2024 Coup Attempt,,,,,,,,,,,,,,,,,
Gabon,481,,,2023,8,30,2,V2026.01.13,Tucker,Complete,2023 Gabon Coup Attempt,,,,,,,,,,,,,,,,,
Niger,436,,,2023,7,26,2,V2026.01.13,Tucker,Complete,Niger 2023 Coup Attempt,,,,,,,,,,,,,,,,,
Sudan,625,,626,2023,4,15,1,V2026.01.13,Tucker,Complete,2023 Sudan Coup Attempt.docx,,https://www.hurstpublishers.com/book/sudans-unfinished-democracy/,https://books.google.com/books/about/Sudan_at_War_A_Nation_Divided.html?id=7Hu20QEACAAJ,,,,,,,,,,,,,,
Burkina Faso,439,,,2022,1,23,2,V2026.01.13,Reece,Complete,Burkina Faso 1-24-22 AI.docx,,,,,,,,,,,,,,,,,Research
Burkina Faso,439,,,2022,9,30,2,V2026.01.13,Reece,Complete,Burkina Faso 9-30-22,,,,,,,,,,,,,,,,,Drafting
Guinea-Bissau,404,,,2022,2,1,1,V2026.01.13,,Need to be reviewed ,Guinea-Bissau 2/22,,,,,,,,,,,,,,,,,Need to be fact checked
Sao Tome and Principe,403,,,2022,11,25,1,V2026.01.13,Tucker,Complete,2022 Sao Tome and Principe Coup Attempt,,,,,,,,,,,,,,,,,Need to be reviewed 
Chad,483,,,2021,4,20,2,V2026.01.13,Tucker,Complete,2021 Chad Coup Attempt,,,,,,,,,,,,,,,,,Complete
Guinea,438,,,2021,9,5,2,V2026.01.13,Tucker,Complete,2021 Guinea Coup Attempt,,,,,,,,,,,,,,,,,
Mali,432,,,2021,5,21,2,V2026.01.13,Reece,Complete,Mali 5-21-21,,,,,,,,,,,,,,,,,
Myanmar,775,,,2021,2,1,2,V2026.01.13,Reece,Complete,Myanmar 2-21,,,,,,,,,,,,,,,,,
Niger,436,,,2021,3,31,1,V2026.01.13,Reece,Complete,Niger 3-31-21,,,,,,,,,,,,,,,,,
Sudan,625,,626,2021,9,21,1,V2026.01.13,Reece,Complete,Sudan 9-21-21,,,,,,,,,,,,,,,,,
Sudan,625,,626,2021,10,25,2,V2026.01.13,Reece,Complete,Sudan 10-25,,,,,,,,,,,,,,,,,
Mali,432,,,2020,8,18,2,V2026.01.13,Reece,Need to be fact checked,Mali 8-18,,,,,,,,,,,,,,,,,
Gabon,481,,,2019,1,7,1,V2026.01.13,Tucker,Need to be fact checked,2019 Gabon Coup Attempt,Could benefit from another source or two,,,,,,,,,,,,,,,,
Sudan,625,,626,2019,4,11,2,V2026.01.13,Tucker,Need to be fact checked,Sudan 2019 Coup Attempt,,,,,,,,,,,,,,,,,
Zimbabwe,552,,,2017,11,15,2,V2026.01.13,Tucker,Need to be fact checked,Zimbabwe 2017 Coup Attempt,,,,,,,,,,,,,,,,,
Turkey,640,,,2016,7,15,1,V2026.01.13,Reece,Drafting,Turkey 2016.docx, ~3 hours,,,,,,,,,,,,,,,,
Burkina Faso,439,,,2015,9,17,1,V2026.01.13,Reece,Need to be fact checked,Burkina Faso 9-17-15.docx,,,,,,,,,,,,,,,,,
Burundi,516,,,2015,5,13,1,V2026.01.13,Tucker,Need to be fact checked,Burundi 2014 Coup Attempt,,,,,,,,,,,,,,,,,
Burkina Faso,439,,,2014,10,30,2,V2026.01.13,Tucker,Need to be fact checked,Burkina Faso 2014 Coup Attempt,,,,,,,,,,,,,,,,,
Lesotho,570,,,2014,8,30,1,V2026.01.13,Tucker,Need to be fact checked,Lesotho 2014 Coup Attempt,,,,,,,,,,,,,,,,,
Thailand,800,,,2014,5,22,2,V2026.01.13,Tucker,Need to be fact checked,Thailand 2014 Coup Attempt,,,,,,,,,,,,,,,,,
Ukraine,369,,,2014,2,22,2,V2026.01.13,Reece,Need to be fact checked,Ukraine 2-22-2014.docx,,,,,,,,,,,,,,,,,
Egypt,651,,,2013,7,3,2,V2026.01.13,Reece,Need to be reviewed ,Egypt 2013,~90 minutes,,,,,,,,,,,,,,,,
Guinea-Bissau,404,,,2012,4,12,2,V2026.01.13,Tucker,Need to be fact checked,Guinea-Bassau 2012 Coup Attempt,,,,,,,,,,,,,,,,,
Maldives,781,,,2012,2,7,2,V2026.01.13,Tucker,Need to be fact checked,Maldives 2012 Coup Attempt,,,,,,,,,,,,,,,,,
Mali,432,,,2012,3,22,2,V2026.01.13,Tucker,Need to be fact checked,Mali March 2012 Coup attempt,,,,,,,,,,,,,,,,,
Mali,432,,,2012,5,1,1,V2026.01.13,Tucker,Need to be fact checked,Mali May 2012 Coup Attempt,,,,,,,,,,,,,,,,,
Papua New Guinea,910,,,2012,1,26,1,V2026.01.13,Tucker,Need to be fact checked,Papua New Guinea 2012 Coup Attempt,,,,,,,,,,,,,,,,,
